Device,MAC,Timestamp,Time(03:00),Elapsed(s),X(number),Y(number),Z (number)
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409404,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409404,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409447,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409448,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409448,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409449,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409450,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409493,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409493,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409494,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409495,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409538,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409539,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409539,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409539,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409583,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409586,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409587,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409588,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409588,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409628,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409772,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409776,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409776,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409776,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409777,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409777,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409807,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409808,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409808,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409809,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409853,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409854,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409854,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409855,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409855,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409898,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409899,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409900,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409900,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409943,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409944,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409944,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409945,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409945,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409987,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119409995,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
NameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410077,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410078,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410079,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410080,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410080,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410122,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410123,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410123,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410124,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410167,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410168,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410168,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410169,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410170,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410212,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410213,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410213,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410214,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410257,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410258,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410258,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410259,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410259,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410303,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410303,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410527,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410528,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410528,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410529,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410573,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410573,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410574,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410574,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410575,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410617,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119410618,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
