epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1706108612299,2024-01-24T17:03:32.299,2.400,1.000,0.004,0.014,0.000
1706108612309,2024-01-24T17:03:32.309,2.410,1.000,0.004,0.014,0.000
1706108612319,2024-01-24T17:03:32.319,2.420,1.000,0.004,0.014,0.000
1706108612329,2024-01-24T17:03:32.329,2.430,1.000,0.004,0.014,0.000
1706108612339,2024-01-24T17:03:32.339,2.440,1.000,0.004,0.014,0.000
1706108612349,2024-01-24T17:03:32.349,2.450,1.000,0.004,0.014,0.000
1706108612359,2024-01-24T17:03:32.359,2.460,1.000,0.004,0.014,0.000
1706108612369,2024-01-24T17:03:32.369,2.470,1.000,0.004,0.014,0.000
1706108612379,2024-01-24T17:03:32.379,2.480,1.000,0.004,0.014,0.000
1706108612389,2024-01-24T17:03:32.389,2.490,1.000,0.004,0.014,0.000
1706108612399,2024-01-24T17:03:32.399,2.500,1.000,0.004,0.014,0.000
1706108612409,2024-01-24T17:03:32.409,2.510,1.000,0.004,0.014,0.000
1706108612419,2024-01-24T17:03:32.419,2.520,1.000,0.004,0.014,0.000
1706108612429,2024-01-24T17:03:32.429,2.530,1.000,0.004,0.014,0.000
1706108612439,2024-01-24T17:03:32.439,2.540,1.000,0.004,0.014,0.000
1706108612449,2024-01-24T17:03:32.449,2.550,1.000,0.004,0.014,0.000
1706108612459,2024-01-24T17:03:32.459,2.560,1.000,0.004,0.014,0.000
1706108612469,2024-01-24T17:03:32.469,2.570,1.000,0.004,0.014,0.000
1706108612479,2024-01-24T17:03:32.479,2.580,1.000,0.004,0.014,0.000
1706108612489,2024-01-24T17:03:32.489,2.590,1.000,0.004,0.014,0.000
1706108612499,2024-01-24T17:03:32.499,2.600,1.000,0.004,0.014,0.000
1706108612509,2024-01-24T17:03:32.509,2.610,1.000,0.004,0.014,0.000
1706108612519,2024-01-24T17:03:32.519,2.620,1.000,0.004,0.014,0.000
1706108612529,2024-01-24T17:03:32.529,2.630,1.000,0.004,0.014,0.000
1706108612539,2024-01-24T17:03:32.539,2.640,1.000,0.004,0.014,0.000
1706108612549,2024-01-24T17:03:32.549,2.650,1.000,0.004,0.014,0.000
1706108612559,2024-01-24T17:03:32.559,2.660,1.000,0.004,0.014,0.000
1706108612569,2024-01-24T17:03:32.569,2.670,1.000,0.004,0.014,0.000
1706108612579,2024-01-24T17:03:32.579,2.680,1.000,0.004,0.014,0.000
1706108612589,2024-01-24T17:03:32.589,2.690,1.000,0.004,0.014,0.000
1706108612599,2024-01-24T17:03:32.599,2.700,1.000,0.004,0.014,0.000
1706108612609,2024-01-24T17:03:32.609,2.710,1.000,0.004,0.014,0.000
1706108612619,2024-01-24T17:03:32.619,2.720,1.000,0.004,0.014,0.000
1706108612629,2024-01-24T17:03:32.629,2.730,1.000,0.004,0.014,0.000
1706108612639,2024-01-24T17:03:32.639,2.740,1.000,0.004,0.014,0.000
1706108612649,2024-01-24T17:03:32.649,2.750,1.000,0.004,0.014,0.000
1706108612659,2024-01-24T17:03:32.659,2.760,1.000,0.004,0.014,0.000
1706108612669,2024-01-24T17:03:32.669,2.770,1.000,0.004,0.014,0.000
1706108612679,2024-01-24T17:03:32.679,2.780,1.000,0.004,0.014,0.000
1706108612689,2024-01-24T17:03:32.689,2.790,1.000,0.004,0.014,0.000
1706108612699,2024-01-24T17:03:32.699,2.800,1.000,0.004,0.014,0.000
1706108612709,2024-01-24T17:03:32.709,2.810,1.000,0.004,0.014,0.000
1706108612719,2024-01-24T17:03:32.719,2.820,1.000,0.004,0.014,0.000
1706108612729,2024-01-24T17:03:32.729,2.830,1.000,0.004,0.014,0.000
1706108612739,2024-01-24T17:03:32.739,2.840,1.000,0.004,0.014,0.000
1706108612749,2024-01-24T17:03:32.749,2.850,1.000,0.004,0.014,0.000
1706108612759,2024-01-24T17:03:32.759,2.860,1.000,0.004,0.014,0.000
1706108612769,2024-01-24T17:03:32.769,2.870,1.000,0.004,0.014,0.000
1706108612779,2024-01-24T17:03:32.779,2.880,1.000,0.004,0.014,0.000
1706108612789,2024-01-24T17:03:32.789,2.890,1.000,0.004,0.014,0.000
1706108612799,2024-01-24T17:03:32.799,2.900,1.000,0.004,0.014,0.000
1706108612809,2024-01-24T17:03:32.809,2.910,1.000,0.004,0.014,0.000
1706108612819,2024-01-24T17:03:32.819,2.920,1.000,0.004,0.014,0.000
1706108612829,2024-01-24T17:03:32.829,2.930,1.000,0.004,0.014,0.000
1706108612839,2024-01-24T17:03:32.839,2.940,1.000,0.004,0.014,0.000
1706108612849,2024-01-24T17:03:32.849,2.950,1.000,0.004,0.014,0.000
1706108612859,2024-01-24T17:03:32.859,2.960,1.000,0.004,0.014,0.000
1706108612869,2024-01-24T17:03:32.869,2.970,1.000,0.004,0.014,0.000
1706108612879,2024-01-24T17:03:32.879,2.980,1.000,0.004,0.014,0.000
1706108612889,2024-01-24T17:03:32.889,2.990,1.000,0.004,0.014,0.000
1706108612899,2024-01-24T17:03:32.899,3.000,1.000,0.004,0.014,0.000
1706108612909,2024-01-24T17:03:32.909,3.010,1.000,0.004,0.014,0.000
1706108612919,2024-01-24T17:03:32.919,3.020,1.000,0.004,0.014,0.000
1706108612929,2024-01-24T17:03:32.929,3.030,1.000,0.004,0.014,0.000
1706108612939,2024-01-24T17:03:32.939,3.040,1.000,0.004,0.014,0.000
1706108612949,2024-01-24T17:03:32.949,3.050,1.000,0.004,0.014,0.000
1706108612959,2024-01-24T17:03:32.959,3.060,1.000,0.004,0.014,0.000
1706108612969,2024-01-24T17:03:32.969,3.070,1.000,0.004,0.014,0.000
1706108612979,2024-01-24T17:03:32.979,3.080,1.000,0.004,0.014,0.000
1706108612989,2024-01-24T17:03:32.989,3.090,1.000,0.004,0.014,0.000
1706108612999,2024-01-24T17:03:32.999,3.100,1.000,0.004,0.014,0.000
1706108613009,2024-01-24T17:03:33.009,3.110,1.000,0.004,0.014,0.000
1706108613019,2024-01-24T17:03:33.019,3.120,1.000,0.004,0.014,0.000
1706108613029,2024-01-24T17:03:33.029,3.130,1.000,0.004,0.014,0.000
1706108613039,2024-01-24T17:03:33.039,3.140,1.000,0.004,0.014,0.000
1706108613049,2024-01-24T17:03:33.049,3.150,1.000,0.004,0.014,0.000
1706108613059,2024-01-24T17:03:33.059,3.160,1.000,0.004,0.014,0.000
1706108613069,2024-01-24T17:03:33.069,3.170,1.000,0.004,0.014,0.000
1706108613079,2024-01-24T17:03:33.079,3.180,1.000,0.004,0.014,0.000
1706108613089,2024-01-24T17:03:33.089,3.190,1.000,0.004,0.014,0.000
1706108613099,2024-01-24T17:03:33.099,3.200,1.000,0.004,0.014,0.000
1706108613109,2024-01-24T17:03:33.109,3.210,1.000,0.004,0.014,0.000
1706108613119,2024-01-24T17:03:33.119,3.220,1.000,0.004,0.014,0.000
1706108613129,2024-01-24T17:03:33.129,3.230,1.000,0.004,0.014,0.000
1706108613139,2024-01-24T17:03:33.139,3.240,1.000,0.004,0.014,0.000
1706108613149,2024-01-24T17:03:33.149,3.250,1.000,0.004,0.014,0.000
1706108613159,2024-01-24T17:03:33.159,3.260,1.000,0.004,0.014,0.000
1706108613169,2024-01-24T17:03:33.169,3.270,1.000,0.004,0.014,0.000
1706108613179,2024-01-24T17:03:33.179,3.280,1.000,0.004,0.014,0.000
1706108613189,2024-01-24T17:03:33.189,3.290,1.000,0.004,0.014,0.000
1706108613199,2024-01-24T17:03:33.199,3.300,1.000,0.004,0.014,0.000
1706108613209,2024-01-24T17:03:33.209,3.310,1.000,0.004,0.014,0.000
1706108613219,2024-01-24T17:03:33.219,3.320,1.000,0.004,0.014,0.000
1706108613229,2024-01-24T17:03:33.229,3.330,1.000,0.004,0.014,0.000
1706108613239,2024-01-24T17:03:33.239,3.340,1.000,0.004,0.014,0.000
1706108613249,2024-01-24T17:03:33.249,3.350,1.000,0.004,0.014,0.000
