Device,MAC,Timestamp,Time(03:00),elapsed (s),X(number),Y(number),Z (number)
4,E25AD03D0194,1721221267473,2024-07-17T16:01:07.473,4.07,-0.021105964,0.016649757,0.009754359
4,E25AD03D0194,1721221267483,2024-07-17T16:01:07.483,4.08,-0.0195924,0.018795187,0.0073437463
4,E25AD03D0194,1721221267493,2024-07-17T16:01:07.493,4.09,-0.023448175,0.015084166,0.009824936
4,E25AD03D0194,1721221267503,2024-07-17T16:01:07.503,4.1,-0.023895416,0.01089364,0.008792762
4,E25AD03D0194,1721221267523,2024-07-17T16:01:07.523,4.12,-0.022353554,0.020030841,0.009730169
4,E25AD03D0194,1721221267533,2024-07-17T16:01:07.533,4.13,-0.020366685,0.015810704,0.013090138
4,E25AD03D0194,1721221267553,2024-07-17T16:01:07.553,4.15,-0.023719592,0.016134514,0.009092455
4,E25AD03D0194,1721221267563,2024-07-17T16:01:07.563,4.16,-0.022221103,0.01678634,0.012469588
4,E25AD03D0194,1721221267723,2024-07-17T16:01:07.723,4.32,-0.022653855,0.01806729,0.0113601135
4,E25AD03D0194,1721221267733,2024-07-17T16:01:07.733,4.33,-0.020212451,0.017090727,0.012824955
4,E25AD03D0194,1721221267743,2024-07-17T16:01:07.743,4.34,-0.020700732,0.01806729,0.0113601135
4,E25AD03D0194,1721221267753,2024-07-17T16:01:07.753,4.35,-0.023630416,0.014161042,0.00940699
4,E25AD03D0194,1721221267763,2024-07-17T16:01:07.763,4.36,-0.02509526,0.0151376035,0.013313237
4,E25AD03D0194,1721221267773,2024-07-17T16:01:07.773,4.37,-0.022165574,0.015625885,0.012336675
4,E25AD03D0194,1721221267783,2024-07-17T16:01:07.783,4.38,-0.020212451,0.014649323,0.0113601135
4,E25AD03D0194,1721221267793,2024-07-17T16:01:07.793,4.39,-0.024118697,0.017579008,0.007942148
4,E25AD03D0194,1721221267813,2024-07-17T16:01:07.813,4.41,-0.020212451,0.016602445,0.0069655864
4,E25AD03D0194,1721221267843,2024-07-17T16:01:07.843,4.44,-0.020700732,0.017579008,0.010871832
